question,correct_answer,student_answer,gap_type,gap_score,socratic_question
What do we know about the Bodleian Library?,It is smaller than the British Library.,It is smaller than the British Library.,correct,1.0,Why do you think that is the case?
"What did the author mean by saying ""just like a cat has nine lives"" when he talked about Arafat?",Arafat can stay alive after accidents or disasters as if he has nine lives.,Arafat can stay alive after accidents or disasters as if he has,correct,0.9291489124298096,Why do you think that is the case?
"In the presence of oxygen, hydrogen can interact to make what?",water,water,correct,1.0,Can you explain your reasoning?
What is the process in which organisms reproduce sexually by joining gametes called?,fertilization,fertilization,correct,1.0,Can you explain your reasoning?
Which of the following would be the best title of the passage?,The joy of giving,The joy of giving,correct,0.9999999403953552,Why do you think that is the case?
What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,enzymes,enzymes,correct,1.0000001192092896,Can you explain your reasoning?
What organ systems link exchange surfaces with cells throughout the body?,circulatory,circulatory,correct,0.9999998807907104,Can you explain your reasoning?
When did Anna Ferris draw attention to the public?,After she finished the 100-meter dash,After she finished the,incomplete,0.5655257701873779,Why do you think that is the case?
What is the process of action potentials in myelinated axons jumping between the nodes of ranvier called?,saltatory conduction,saltatory conduction,correct,0.9999998807907104,Can you explain your reasoning?
"Despite its small size, an erythrocyte contains about 250 million molecules of what?",hemoglobin,hemoglobin,correct,1.000000238418579,Can you explain your reasoning?
"According to the passage, what caused Arabia separate from Africa?",Molten rock flowing into the continental gap.,This is incorrect because Molten,incomplete,0.5419846773147583,Why do you think that is the case?
Why did the older angel repair the hole for the rich family?,Because she didn't like the greedy owner.,Because she didn't like the,incomplete,0.7051734924316406,Why do you think that is the case?
What happens to the temperature of matter as light is absorbed?,it increases,it increases,correct,1.0,Can you explain your reasoning?
What is a species that plays an especially important role in it's community called?,keystone,keystone,correct,1.0,Can you explain your reasoning?
Which of the following festivals are celebrated in the same month?,Nowroz and the Bahai New Year.,Nowroz and the Bahai,correct,0.9042511582374573,Why do you think that is the case?
What is the term for a mixture of two or more substances that has the same composition throughout?,solution,solution,correct,1.0,Can you explain your reasoning?
Which of the following sentences is true according to the passage?,Rupert Hoogewerf speaks fluent Chinese.,This is incorrect because Rupert,misconception,0.4227011799812317,Why do you think that is the case?
Bikini Boot Camp is different from the others in that  _  .,it is a diet program full of fun,it is a diet program full,incomplete,0.8356829881668091,Why do you think that is the case?
The passage is developed mainly by  _  .,showing the effect and then explaining the causes,showing the effect and then explaining the causes,correct,1.0,Why do you think that is the case?
"When Annie was a nurse, she felt no real   _   in her work or in her life.",responsibility,responsibility,correct,1.0,Why do you think that is the case?
"Superman, Peter Pan, and Harry Potter have charmed many people, because   _  .",they possess powers that ordinary people don't have,they possess powers that ordinary people,correct,0.9592694640159607,Why do you think that is the case?
Which of the following statements about zoos would the writer agree with?,Zoos now provide caring living conditions for animals.,Zoos now provide caring living conditions for animals.,correct,1.0,Why do you think that is the case?
Where are these trips?,In a park in the mountains.,In a park in,incomplete,0.8253408670425415,Why do you think that is the case?
What's the main idea of the passage?,The Maldives is considering ways to fight against the global warming.,The Maldives is considering ways to fight against the global warming.,correct,1.0,Why do you think that is the case?
"For years, before Obama was elected president of the US,   _  .",Kobe was the only role model for all the blacks,This is incorrect because Kobe,incomplete,0.5723950266838074,Why do you think that is the case?
"According to the passage, obesity is directly linked to   _  .",sugar-sweetened soft drinks,sugar-sweetened soft drinks,correct,1.0000001192092896,Why do you think that is the case?
Why is Morioka Shoten unique?,It sells various copies of a book in a week.,It sells various copies of a book in a week.,correct,0.9999999403953552,Why do you think that is the case?
"The title of this story can be ""  _  "".",Help,Help,correct,1.0,Why do you think that is the case?
"According to Charles,   _  .",deep conversations can make people happy,deep conversations can make people happy,correct,0.9999999403953552,Why do you think that is the case?
Frequency and intensity are two measurable properties of what?,wave,wave,correct,1.0000001192092896,Can you explain your reasoning?
Red litmus paper turns what color when placed in a basic solution?,blue,blue,correct,1.0,Can you explain your reasoning?
What advice does the author give to those who want to be fashion designers?,Deciding what is unique about their clothes.,This is incorrect because Deciding,misconception,0.19394153356552124,Why do you think that is the case?
The author believes that the increased size of the human population results from    _   .,a decrease in death rates,a decrease in,incomplete,0.5931123495101929,Why do you think that is the case?
65. What's the purpose of the author's writing this passage?,To encourage people to improve their reading ability.,To encourage people to improve their reading ability.,correct,1.0,Why do you think that is the case?
Why is the move of US significant?,Around half of all lion hunting in Africa is conducted by Americans.,This is incorrect because Around,misconception,0.10201558470726013,Why do you think that is the case?
What may be the best title for the text?,Finding reading moments,Finding reading moments,correct,1.0,Why do you think that is the case?
Glenn got seriously burned   _  .,when he was probably younger than ten,This is incorrect because when,misconception,0.3313119113445282,Why do you think that is the case?
"Comparing anatomy, and characterizing the similarities and differences, provides evidence of what process?",evolution,evolution,correct,1.0000001192092896,Can you explain your reasoning?
"According to the passage, Teary Joe   _  .",relied on others' sympathy   before,relied on others',incomplete,0.738703191280365,Why do you think that is the case?
Where does this passage come from?,A website.,A website.,correct,1.0000001192092896,Why do you think that is the case?
The function of which organ is to filter blood and form urine?,kidneys,kidneys,correct,1.0,Can you explain your reasoning?
"Before Anna Ferris was born,   _  .",people didn't know radio or crossword puzzle,people didn't know radio or crossword puzzle,correct,1.0000001192092896,Why do you think that is the case?
Baroreceptors in the aortic arch and carotid sinuses monitor what level in the body?,blood pressure,blood pressure,correct,1.0,Can you explain your reasoning?
"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",valves,valves,correct,1.0,Can you explain your reasoning?
It is probably most difficult for Smarter Child to_.,learn the ability to tell right behaviors from wrong ones.,This is incorrect because learn,misconception,0.2482897937297821,Why do you think that is the case?
"When a meteoroid reaches earth, what is the remaining object called?",meteorite,meteorite,correct,1.0,Can you explain your reasoning?
The boy looked forward to meeting the author because    _   .,he was one of the author's fans,This is incorrect because he,misconception,0.24395707249641418,Why do you think that is the case?
Which of the following is true?,Smoking can also influence a person's weaker verbal and visual-spatial reasoning.,Smoking can also influence a person's weaker verbal and,correct,0.8830298185348511,Why do you think that is the case?
McCulloch and his group used_in their research.,5 dogs and 169 people,5 dogs and,incomplete,0.8237779140472412,Why do you think that is the case?
What keeps the moon orbiting earth?,gravity,gravity,correct,1.0,Can you explain your reasoning?
The reason why Ashrita keeps breaking so many records is that   _  .,breaking records brings him much joy and challenge,This is incorrect because breaking,misconception,0.3062133193016052,Why do you think that is the case?
What do we learn about the author?,He now works as a doctor.,He now works as,incomplete,0.6773619651794434,Why do you think that is the case?
What is the minimum mass capable of supporting sustained fission called?,critical mass,critical mass,correct,1.0000001192092896,Can you explain your reasoning?
"""Act your age"" means people should   _   .",do the right thing at the right age,do the right thing at the,incomplete,0.7500581741333008,Why do you think that is the case?
What's the purpose of the study that was carried out by Glass and her partners?,To study if cigarette smoking can cause the cognitive deficits among alcoholics.,To study if cigarette smoking can cause the cognitive deficits,correct,0.9184513092041016,Why do you think that is the case?
What's the best title for this passage?,Children's Fears,Children's Fears,correct,1.0,Why do you think that is the case?
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,fertilization,fertilization,correct,1.0,Can you explain your reasoning?
"Before Anna Ferris was born,   _  .",people didn't know radio or crossword puzzle,This is incorrect because people,misconception,0.3038828372955322,Why do you think that is the case?
"In most animals, what sense is related to balance or equilibrium?",hearing,hearing,correct,1.0,Can you explain your reasoning?
The passage is mainly about  _  .,the cause why the Red Sea is parting again,the cause why the Red Sea is,correct,0.8721964955329895,Why do you think that is the case?
For what purpose does liver use the excess carbohydrate?,to synthesize glycogen,to synthesize glycogen,correct,1.000000238418579,Can you explain your reasoning?
We can conclude from the text that   _  .,the first prize has been shared four times in Bee history,the first prize has been shared four times in,incomplete,0.6925536394119263,Why do you think that is the case?
Those participating in the final round of the new Canada Prize   _  .,will have their performances broadcast on the TV,will have their performances broadcast on the TV,correct,1.0,Why do you think that is the case?
"From the sentence ""Henry served the gorilla his salad personally, knowing that his waiters and waitresses would be too frightened"" you learn that:   _  .",Henry didn't normally serve customers,Henry didn't normally serve customers,correct,0.9999999403953552,Why do you think that is the case?
The popularity of The Lord of the Rings proves   _  .,the general existence of the sense of curiosity,the general existence of the sense of curiosity,correct,0.9999999403953552,Why do you think that is the case?
"If your purpose is to   _  , you can choose swimming as your exercise form.",build a strong and healthy heart,build a strong and,incomplete,0.5096393823623657,Why do you think that is the case?
The spermatids are transported from the testes to where?,epididymis,epididymis,correct,1.0,Can you explain your reasoning?
Water molecules move about continuously due to what type of energy?,kinetic,kinetic,correct,1.0,Can you explain your reasoning?
Why do people naturally expect that doctors should be well-paid?,They have studied for years to get qualified.,They have studied for years to get qualified.,correct,0.9999999403953552,Why do you think that is the case?
What is friction that acts on objects while it is rolling over a surface called?,rolling friction,rolling friction,correct,1.0,Can you explain your reasoning?
Which sentence carries the main idea of the whole passage?,The first sentence of the first paragraph.,The first sentence of the first paragraph.,correct,1.0000001192092896,Why do you think that is the case?
It is known from the passage that    _  .,Cheryl Olson is not surprised about kids' increasing use of mobile devices,This is incorrect because Cheryl,misconception,0.43778690695762634,Why do you think that is the case?
What are the areas located at fixed distances from the nucleus of the atom?,energy levels,energy levels,correct,0.9999999403953552,Can you explain your reasoning?
The new Canada Prize will   _  .,be divided into four detailed parts,be divided into four detailed parts,correct,1.0000001192092896,Why do you think that is the case?
How many different types of taste can be detected by taste buds?,five,five,correct,1.0,Can you explain your reasoning?
How did Clemmons prove that her idea was reasonable?,She had an experiment done to lift a large stone by using pulleys and a kite.,She had an experiment done to lift a large stone by using pulleys and,correct,0.9390045404434204,Why do you think that is the case?
"In dealing with children's fears, the final goal of the parents is to   _  .",develop children's ability to treat their fear on their own,This is incorrect because develop,misconception,0.1814219355583191,Why do you think that is the case?
What should we do to reduce waste according to the passage?,To copy the way Nature wastes nothing.,To copy the way Nature,incomplete,0.8078418970108032,Why do you think that is the case?
Which of the following would be the best title for the passage?,We Are What We Choose,We Are What,incomplete,0.7295356392860413,Why do you think that is the case?
"In James Hoarley's opinion,   _  .",using others' Internet service is not stealing at all.,using others' Internet service is not stealing at all.,correct,1.000000238418579,Why do you think that is the case?
What does the author believe as important in life?,To be free from worries,To be free,incomplete,0.7089608907699585,Why do you think that is the case?
The author writes the article to   _  .,let people know the great development of the journalism,This is incorrect because let,misconception,0.04890606179833412,Why do you think that is the case?
"What kind of power does not produce any pollutants, but produces waste that can be difficult to dispose of?",nuclear,nuclear,correct,1.0,Can you explain your reasoning?
What kind of map can show the features of the bottom of a body of water?,bathymetric,bathymetric,correct,1.0,Can you explain your reasoning?
"What is the long, narrow tube that carries food from the pharynx to the stomach by the mechanism of peristalsis?",esophagus,esophagus,correct,1.0,Can you explain your reasoning?
What science includes many fields of science related to our home planet?,earth science,earth science,correct,1.0,Can you explain your reasoning?
Which of the following is NOT true when this disaster happened?,A sudden storm started with thunder and lightning.,This is incorrect because A,misconception,0.14649829268455505,Why do you think that is the case?
What does the author believe as important in life?,To be free from worries,This is incorrect because To,misconception,0.12813939154148102,Why do you think that is the case?
"When Granny was young , children were expected   _  .",to be present quietly,to be present quietly,correct,0.9999999403953552,Why do you think that is the case?
It can be inferred from the passage that  _  .,life in Africa in her early age lays a solid foundation for her writing,life in Africa in her early age lays a solid foundation for,correct,0.9152179956436157,Why do you think that is the case?
"According to Dr Bukowski,   _  .",further study is needed to prove the findings true,further study is needed to prove the findings true,correct,0.9999999403953552,Why do you think that is the case?
What can we know about MEXICA from the passage?,It is a computer program created by Rafael Perezy Perez.,It is a computer program created by Rafael,correct,0.850128710269928,Why do you think that is the case?
Many objects have color because they contain what?,pigments,pigments,correct,1.0,Can you explain your reasoning?
Testing what usually requires making observations or performing experiments?,hypothesis,hypothesis,correct,1.0000001192092896,Can you explain your reasoning?
"According to the passage,children without experiencing nature will  _  .",be less healthy both physically and mentally,This is incorrect because be,misconception,0.05964675545692444,Why do you think that is the case?
This passage is about  _,Lincoln's favorite story,Lincoln's favorite story,correct,0.9999999403953552,Why do you think that is the case?
"What's the meaning of ""to face the music""?",To face something far less pleasant.,To face something far,incomplete,0.6482869982719421,Why do you think that is the case?
What do clouds trap into the atmosphere at night?,heat,heat,correct,0.9999998807907104,Can you explain your reasoning?
Why has the author's mother always kept the notepad and pencil in the kitchen?,To write down a flash of inspiration.,To write down a flash of inspiration.,correct,1.0,Why do you think that is the case?
What actually happened when the writer heard the loud sound at the first time?,The brake couldn't work because of the lost bolt.,This is incorrect because The,misconception,0.15885156393051147,Why do you think that is the case?
What information can you get from the passage?,All of these birthday parties center on a special theme.,All of these birthday parties center on a special theme.,correct,0.9999998807907104,Why do you think that is the case?
Where would you probably see this passage?,In a newspaper.,In a newspaper.,correct,1.0,Why do you think that is the case?
What did Steve Fossett specially prepare for the trip around the world?,He had an autopilot impvoved.,This is incorrect because He,misconception,0.21099646389484406,Why do you think that is the case?
"What can we know about the word ""whatever""?",Almost half of the Americans surveyed disliked it.,This is incorrect because Almost,misconception,0.24453967809677124,Why do you think that is the case?
Which' s the best title for the passage?.,Young Graduates Look to Surgery for Better Jobs,Young Graduates Look to Surgery for,correct,0.946968674659729,Why do you think that is the case?
What are mutant versions of normal genes called?,proto-oncogenes,proto-oncogenes,correct,0.9999999403953552,Can you explain your reasoning?
What does the text mainly talk about?,Different ways of celebrating the birthday in different countries.,Different ways of celebrating the birthday in different countries.,correct,1.0,Why do you think that is the case?
Which of the following is NOT Nasheed's idea?  _,To build more artificial islands for people to settle there.,To build more artificial islands for people to,correct,0.9035435914993286,Why do you think that is the case?
"According to the recent study, when birds migrate  _  .","they form the shape of a ""V"" to make best use of the lifting effect","they form the shape of a ""V"" to make best use of the",incomplete,0.8111441135406494,Why do you think that is the case?
"According to the passage, Victoria Rideout would probably agree that   _  .",kids should do homework in a place without disturbance,kids should do homework in a place without disturbance,correct,0.9999998807907104,Why do you think that is the case?
What's the purpose of understanding how to deal with friendship problems?,To build stronger and healthier friendships.,To build stronger and,incomplete,0.5539849996566772,Why do you think that is the case?
What term describes the orientation of a body lying face-down?,prone,prone,correct,1.0000001192092896,Can you explain your reasoning?
The passage is developed mainly by  _  .,showing the effect and then explaining the causes,showing the effect and then explaining,correct,0.8888056874275208,Why do you think that is the case?
What temperature scale is obtained by adding 273 degrees from the corresponding celsius temperature?,kelvin scale,kelvin scale,correct,1.0,Can you explain your reasoning?
"When the author was in high school, she   _  .",began to make clothes on her own,began to make clothes on,incomplete,0.8065512180328369,Why do you think that is the case?
The author implies in the passage that   _  .,paying children for their housework is no good,paying children for their housework is no good,correct,1.0,Why do you think that is the case?
The passage mainly tells us that_.,smoking and drinking may make IQ and thinking ability poor.,This is incorrect because smoking,misconception,0.47695228457450867,Why do you think that is the case?
The report shows that about nine earthquakes in the past ten years are measured over   _   on the Richter scale.,7,7,correct,1.0,Why do you think that is the case?
It can be inferred that   _  .,career decision is misunderstood by many people because they don't take it as a life-long process,career decision is misunderstood by many people because they don't take it as a life-long process,correct,0.9999999403953552,Why do you think that is the case?
What type of reactions form compounds?,chemical reactions,chemical reactions,correct,0.9999999403953552,Can you explain your reasoning?
"What's the meaning of ""to face the music""?",To face something far less pleasant.,To face something far less pleasant.,correct,0.9999999403953552,Why do you think that is the case?
"According to Bill Bank,   _  .",it's better for young blacks to find role models in those who are close to them,it's better for young blacks to find role models in those who are close to them,correct,1.0,Why do you think that is the case?
What can we learn about the author?,She believes people should participate in the world around them.,She believes people should participate in the world around them.,correct,0.9999998211860657,Why do you think that is the case?
What is a problem with cyberschools?,It is hard to know students' progress in learning.,It is hard to know students' progress in learning.,correct,0.9999998807907104,Why do you think that is the case?
What two ways may light be transmitted?,refracted or scattered,refracted or scattered,correct,1.0,Can you explain your reasoning?
SignalGuru is an application used on   _  .,a mobile phone,a mobile phone,correct,1.0,Why do you think that is the case?
What are the two major types of seed plants called?,gymnosperms and angiosperms,gymnosperms and angiosperms,correct,0.9999998807907104,Can you explain your reasoning?
An antigen is a molecule that reacts with some component of the what response?,immune,immune,correct,1.0,Can you explain your reasoning?
Which is true according to the passage?,Headache may last several minutes.,Headache may last,correct,0.8680204749107361,Why do you think that is the case?
Where do angiosperms produce seeds in flowers?,ovaries,ovaries,correct,1.0000001192092896,Can you explain your reasoning?
The purpose of creating Pndt d'Arc Cavern is to  _  .,offer visitors chances to view the wonderful artwork,This is incorrect because offer,misconception,0.0771213099360466,Why do you think that is the case?
"Before the races begin,   _   take part in the activities during the opening ceremonies.","musicians, officials, camels and horses","musicians, officials, camels and horses",correct,1.0,Why do you think that is the case?
"Before Anna Ferris was born,   _  .",people didn't know radio or crossword puzzle,people didn't know radio or,incomplete,0.7777357697486877,Why do you think that is the case?
Which of the following statements would Dr He agree to?,A low-salt diet may prevent both high blood pressure and obesity.,A low-salt diet may prevent both high blood pressure,correct,0.9172222018241882,Why do you think that is the case?
What environment do animals with gills live in?,water,water,correct,1.0,Can you explain your reasoning?
Why does the author say that panopticon is already here?,Because our actions are observed and recorded in many cases.,Because our actions are observed and recorded in many cases.,correct,1.0,Why do you think that is the case?
"In writing this passage,the author mainly intends to  _  .",show his concern about children's lack of experience in nature,show his concern about children's lack of experience,correct,0.875659704208374,Why do you think that is the case?
Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,smoke and ash,smoke and ash,correct,1.0000001192092896,Can you explain your reasoning?
Which of the following statements is INCORRECT?,Double stars can provide steady light and heat.,Double stars can provide steady light and heat.,correct,1.0,Why do you think that is the case?
In a glass of sweet tea the sugar is known as the solute and the water is known as what?,solvent,solvent,correct,0.9999999403953552,Can you explain your reasoning?
From this passage we know that    _   .,Until the next morning another 5 miners were found dead in this accident,Until the next morning another 5 miners were found dead in,correct,0.9086262583732605,Why do you think that is the case?
Land plants are classified into two major groups according to the absence or presence of what tissue?,vascular,vascular,correct,1.0,Can you explain your reasoning?
What will be the huge psychological shift Trevor mentioned at the end of the passage?,The other three leaders all support Obama.,This is incorrect because The,misconception,0.1688845157623291,Why do you think that is the case?
Why did the author decide to buy the Hollowell place?,It was in a good position.,It was in a,missing_concept,0.4178067147731781,Why do you think that is the case?
Which word can best describe Glenn Cunningham according to the author?,Determined,Determined,correct,1.0,Why do you think that is the case?
What about English in Brussels?,English is increasingly eclipsing French.,This is incorrect because English,misconception,0.37543269991874695,Why do you think that is the case?
What is controlled by both genes and experiences in a given envionment?,animal behaviors,animal behaviors,correct,1.0000001192092896,Can you explain your reasoning?
The formation of an amalgam allows the metal to react with what?,air and water,air and water,correct,0.9999998807907104,Can you explain your reasoning?
The creation and destruction of oceanic crust is the reason what moves?,continents,continents,correct,1.0000001192092896,Can you explain your reasoning?
What are the ionic compounds that produce negative hydroxide ions when dissolved in water?,bases,bases,correct,0.9999998807907104,Can you explain your reasoning?
"After winning the game,the computer   _   .",gave out some lights and sounds,gave out some lights,incomplete,0.8221105933189392,Why do you think that is the case?
"The phrase ""be at arm's length"" probably means""  _  "".",be as faraway as possible,be as faraway as possible,correct,0.9999998807907104,Why do you think that is the case?
Producers at the base of ecological food webs are also known as?,autotrophic,autotrophic,correct,1.0,Can you explain your reasoning?
Some students don't tend to work hard because,they can get answers on the Internet quickly,This is incorrect because they,misconception,0.2274468094110489,Why do you think that is the case?
Which statement is true about the Hulhumale?,The Hulhumale is an artificial island to be built near the capital.,The Hulhumale is an artificial island to be built near,correct,0.9486071467399597,Why do you think that is the case?
The author feels embarrassed for  _  .,not making good use of time as her mother did,not making good use of time as her,incomplete,0.8363320231437683,Why do you think that is the case?
Tests for levels of what in blood allow a diabetic patient to regulate how much insulin to administer?,glucose,glucose,correct,0.9999997615814209,Can you explain your reasoning?
What is the term for longer chains of monosaccharides ?,polysaccharides,polysaccharides,correct,0.9999998807907104,Can you explain your reasoning?
"According to Dr Bukowski,   _  .",further study is needed to prove the findings true,This is incorrect because further,misconception,0.28038322925567627,Why do you think that is the case?
From the text we can infer that www.intellicast.com is a website_.,where weather forecasts are made,This is incorrect because where,misconception,0.16779232025146484,Why do you think that is the case?
"According to the passage, which statement is true?","Being Palestinian leader, Arafat would rather die in his own country than be driven away from his people.","Being Palestinian leader, Arafat would rather die in his own country than be driven away from",correct,0.9822378754615784,Why do you think that is the case?
From this passage we know that    _   .,Until the next morning another 5 miners were found dead in this accident,This is incorrect because Until,misconception,0.17877762019634247,Why do you think that is the case?
Which of the following best gives the main idea of this newspaper article?,Computer defeats man in chess!,Computer defeats man,incomplete,0.7509017586708069,Why do you think that is the case?
When did Anna Ferris draw attention to the public?,After she finished the 100-meter dash,This is incorrect because After,misconception,0.24291612207889557,Why do you think that is the case?
How did Jimmy feel on hearing the interviewer's question?,There was no hope for him to get the job,There was no hope for him to get the job,correct,0.9999999403953552,Why do you think that is the case?
What are broad explanations that are widely accepted as true?,scientific theories,scientific theories,correct,1.0000001192092896,Can you explain your reasoning?
"According to the author, well-designed clothes   _  .",help people feel sure of themselves,help people feel sure of themselves,correct,1.0000001192092896,Why do you think that is the case?
The electronegativity of an element increases with increasing of what state?,oxidation,oxidation,correct,1.0,Can you explain your reasoning?
"You want to watch the new play with your parents, so it will cost you  _  .",PS20,PS20,correct,1.0,Why do you think that is the case?
What may be the result of the move?,The import of lion parts will be strictly limited.,The import of lion parts will be strictly limited.,correct,0.9999998807907104,Why do you think that is the case?
Glenn got seriously burned   _  .,when he was probably younger than ten,when he was probably younger than ten,correct,1.0,Why do you think that is the case?
Which part of the wave helps make the wave bend and cause refraction?,shallow part,shallow part,correct,1.0000001192092896,Can you explain your reasoning?
The reason why Ashrita keeps breaking so many records is that   _  .,breaking records brings him much joy and challenge,breaking records brings him much joy and challenge,correct,1.0000001192092896,Why do you think that is the case?
"During the Jewish New Year,  _  .",children often wear new clothes,This is incorrect because children,misconception,0.3695450723171234,Why do you think that is the case?
"When the author was in high school, she   _  .",began to make clothes on her own,This is incorrect because began,misconception,0.16420970857143402,Why do you think that is the case?
What can we learn about Steve's flight in 2002?,He set a speed record of balloon flight.,He set a speed record of,incomplete,0.7081530094146729,Why do you think that is the case?
The younger angel was very angry because   _  .,the older angel treated the two families unfairly,the older angel treated the two families unfairly,correct,1.0,Why do you think that is the case?
Which of the following would be the best title for the text?,A Canada Prize for Arts,This is incorrect because A,misconception,0.11651385575532913,Why do you think that is the case?
We learn from the passage that the author   _  .,held.a positive attitude towards an active life,held.a positive attitude towards an active life,correct,0.9999998807907104,Why do you think that is the case?
How did Clemmons prove that her idea was reasonable?,She had an experiment done to lift a large stone by using pulleys and a kite.,This is incorrect because She,misconception,0.21616452932357788,Why do you think that is the case?
Rapidly produced genetic vairants are found in organisms with what type of generation time?,short,short,correct,0.9999998807907104,Can you explain your reasoning?
In the passage the author intends to   _,give advice on how to prepare for vacation,give advice on how to prepare,incomplete,0.5803779363632202,Why do you think that is the case?
Which of the following statements is right?,"Lincoln, even though great, was not proud.","Lincoln, even though great, was",incomplete,0.8434422016143799,Why do you think that is the case?
An action potential that starts at the axon hillock moves along the axon only toward what?,the synaptic terminals,the synaptic terminals,correct,0.9999998807907104,Can you explain your reasoning?
What is the name of the zone where water is deeper than 200 meters called?,aphotic zone,aphotic zone,correct,0.9999998807907104,Can you explain your reasoning?
"When a series of measurements is precise but not what, the error is usually systematic?",accurate,accurate,correct,0.9999998807907104,Can you explain your reasoning?
Lincoln was given the pocketknife for  _,his appearance,his appearance,correct,0.9999998807907104,Why do you think that is the case?
"In the writer's opinion, it is better to study   _  .",for half an hour every day,for half an hour,incomplete,0.788388729095459,Why do you think that is the case?
"According to the passage, J. R. R. Tolkien is   _  .",the author of The Lord of the Rings,This is incorrect because the,misconception,0.030398791655898094,Why do you think that is the case?
The passage classifies(......) the desert plants according to  _   .,the ways they take to deal with the typical climatic condition in desert,the ways they take to deal with the typical climatic condition,incomplete,0.8363471627235413,Why do you think that is the case?
How many types of surface waves are there?,two,two,correct,1.0000001192092896,Can you explain your reasoning?
What is the term for the gas in smog that can damage plants?,ozone,ozone,correct,1.0000001192092896,Can you explain your reasoning?
"Based on the passage, the researchers  _  .",calculated people's life satisfaction within five years,calculated people's life satisfaction within,correct,0.889315664768219,Why do you think that is the case?
The new Canada Prize will   _  .,be divided into four detailed parts,This is incorrect because be,misconception,0.14402137696743011,Why do you think that is the case?
Which of the following elements is of little help in Lin's success?,his graduation from Harvard University,his graduation from,incomplete,0.7938254475593567,Why do you think that is the case?
What is the text mainly about?,A charity dinner held in Beijing by Mr. Buffett and Mr. Gates.,This is incorrect because A,misconception,0.038063209503889084,Why do you think that is the case?
"According to Bill Bank,   _  .",it's better for young blacks to find role models in those who are close to them,This is incorrect because it's,misconception,0.1308789998292923,Why do you think that is the case?
"If you are in bed when an earthquake happens, you should_.",lie close to your bed,lie close to,incomplete,0.6327710151672363,Why do you think that is the case?
Which of the following statements is TRUE?,Alexander was very ready to listen to anybody including his officers and soldiers.,Alexander was very ready to listen to anybody including his officers,correct,0.9541741609573364,Why do you think that is the case?
Which of the following best describes the families of the astronauts on the ISS ?,They are caring and thoughtful.,This is incorrect because They,misconception,0.25779926776885986,Why do you think that is the case?
When is this passage probably written?,Before a Christmas.,Before a Christmas.,correct,0.9999998807907104,Why do you think that is the case?
Why can't some children follow their common sense?,Because they think all the children will do the same.,Because they think all the children will do the same.,correct,0.9999998211860657,Why do you think that is the case?
"First, high temperature denatures proteins and does what to cells?",kills them,kills them,correct,1.0000001192092896,Can you explain your reasoning?
What is the best title for the passage?,Mary Had a Little Lamb,Mary Had a,incomplete,0.6771621704101562,Why do you think that is the case?
What can we learn about Steve's flight in 2002?,He set a speed record of balloon flight.,This is incorrect because He,misconception,0.17178139090538025,Why do you think that is the case?
Marine fishes take in divalent ions by incessantly drinking what?,seawater,seawater,correct,1.0,Can you explain your reasoning?
What is the author's original opinion about the wooden stand?,It needs to be replaced by a better one.,This is incorrect because It,misconception,0.20108257234096527,Why do you think that is the case?
The writer felt the birthday party he attended was   _  .,very strange,very strange,correct,0.9999999403953552,Why do you think that is the case?
"According to the passage, winners  _  .",deal with problems rather than blame others,deal with problems rather than blame others,correct,1.000000238418579,Why do you think that is the case?
Which of the following sentences is true according to the passage?,Rupert Hoogewerf speaks fluent Chinese.,Rupert Hoogewerf speaks fluent Chinese.,correct,0.9999998807907104,Why do you think that is the case?
The two stages of photosynthesis are the light reactions and what?,calvin cycle,calvin cycle,correct,1.0000001192092896,Can you explain your reasoning?
Why did the poem become a classic?,It describes the true love between a little girl and her pet lamb.,It describes the true love between a little girl and her pet lamb.,correct,0.9999998807907104,Why do you think that is the case?
A pulley changes the direction of the force t exerted by the cord without changing its what?,magnitude,magnitude,correct,1.0000001192092896,Can you explain your reasoning?
What does the cell cycle do?,divide and reproduce cells,divide and reproduce cells,correct,0.9999999403953552,Can you explain your reasoning?
What is the term for species evolving together?,coevolution,coevolution,correct,1.0,Can you explain your reasoning?
"What can we know about the word ""whatever""?",Almost half of the Americans surveyed disliked it.,Almost half of the Americans surveyed,incomplete,0.7402268648147583,Why do you think that is the case?
Why did David Pecaut have the idea of founding a new Ganada Prize?,To advance Canada's honor and opportunities.,To advance Canada's honor and opportunities.,correct,0.9999998211860657,Why do you think that is the case?
Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?,smaller nuclei,smaller nuclei,correct,1.0,Can you explain your reasoning?
The author feels embarrassed for  _  .,not making good use of time as her mother did,not making good use of time as her mother did,correct,1.0,Why do you think that is the case?
Who has the highest probability to survive an earthquake?,"Betty, lying besides a pile of magazines.","Betty, lying besides a pile",correct,0.8605331778526306,Why do you think that is the case?
The text is most probably taken from   _  .,a science site,a science site,correct,1.0,Why do you think that is the case?
The author thought it was a good thing for her to lose another tooth because   _  .,she believed the tooth fairy would come again,she believed the tooth fairy would come again,correct,1.0,Why do you think that is the case?
What type of plate boundaries produce huge mountain ranges in the ocean basin?,divergent,divergent,correct,1.0,Can you explain your reasoning?
